College,Fees_Lakhs,Average_Package_LPA,Location,MBA_Tier,Salary_Increment,ROI_Percent,Payback_Years
IIM Ahmedabad,25,35,Ahmedabad,Tier 1,27.0,108.0,0.93
IIM Bangalore,24,34,Bangalore,Tier 1,26.0,108.33,0.92
IIM Calcutta,23,33,Kolkata,Tier 1,25.0,108.7,0.92
ISB Hyderabad,40,35,Hyderabad,Tier 1,27.0,67.5,1.48
XLRI,22,28,Jamshedpur,Tier 1,20.0,90.91,1.1
SPJIMR,20,26,Mumbai,Tier 1,18.0,90.0,1.11
NMIMS,18,20,Mumbai,Tier 1.5,12.0,66.67,1.5
IIM Lucknow,21,30,Lucknow,Tier 1,22.0,104.76,0.95
IIM Kozhikode,22,31,Kozhikode,Tier 1,23.0,104.55,0.96
IIM Indore,20,27,Indore,Tier 1,19.0,95.0,1.05
IIM Shillong,18,25,Shillong,Tier 1,17.0,94.44,1.06
FMS Delhi,2,34,Delhi,Tier 1,26.0,1300.0,0.08
MDI Gurgaon,24,28,Gurgaon,Tier 1,20.0,83.33,1.2
IIFT Delhi,21,27,Delhi,Tier 1,19.0,90.48,1.11
SIBM Pune,24,26,Pune,Tier 1.5,18.0,75.0,1.33
IMT Ghaziabad,20,17,Ghaziabad,Tier 1.5,9.0,45.0,2.22
TAPMI,18,15,Manipal,Tier 2,7.0,38.89,2.57
Great Lakes Chennai,19,17,Chennai,Tier 2,9.0,47.37,2.11
GIM Goa,18,15,Goa,Tier 2,7.0,38.89,2.57
KJ Somaiya,22,13,Mumbai,Tier 2,5.0,22.73,4.4
FORE School,16,14,Delhi,Tier 2,6.0,37.5,2.67
LBSIM,14,12,Delhi,Tier 2,4.0,28.57,3.5
BIM Trichy,12,10,Trichy,Tier 2,2.0,16.67,6.0
LIBA Chennai,14,11,Chennai,Tier 2,3.0,21.43,4.67
IFMR,13,10,Chennai,Tier 2,2.0,15.38,6.5
NIBM Pune,15,12,Pune,Tier 2,4.0,26.67,3.75
Welingkar,18,12,Mumbai,Tier 2,4.0,22.22,4.5
XIME Bangalore,12,9,Bangalore,Tier 2,1.0,8.33,12.0
Jaipuria,11,8,Noida,Tier 2.5,0.0,0.0,0.0
IPE Hyderabad,10,8,Hyderabad,Tier 2.5,0.0,0.0,0.0
IBS Hyderabad,17,10,Hyderabad,Tier 2.5,2.0,11.76,8.5
SCMS Cochin,9,7,Kochi,Tier 2.5,-1.0,-11.11,0.0
RVS Institute,8,6,Coimbatore,Tier 2.5,-2.0,-25.0,0.0
Alliance University,15,9,Bangalore,Tier 2.5,1.0,6.67,15.0
Christ University,10,8,Bangalore,Tier 2.5,0.0,0.0,0.0
Prin L N Welingkar,17,11,Mumbai,Tier 2,3.0,17.65,5.67
SOIL Gurgaon,14,10,Gurgaon,Tier 2.5,2.0,14.29,7.0
